stockid,areaid,stocklong,countries,region,cost_value,MSYbest,lnMSY,final_value,IUCNstatus
POLLNS-VI-IIIa,multinational-ICES-IIIa-IV-VI,"Pollock ICES IIIa, VI and North Sea",multinational,European Union,2.038476184,2.00E+05,19.11382792,38.96308301,NS
POPERCHGA,USA-NMFS-GA,Pacific ocean perch Gulf of Alaska,USA,US Alaska,0.895502963,20243,16.82331961,15.06533257,NS
POPERCHPCOAST,USA-NMFS-PCOAST,Pacific ocean perch Pacific Coast,USA,US West Coast,0.895502963,1058,13.87189089,12.4223194,NS
PORSHARATL,Canada-DFO-ATL,Porbeagle shark Atlantic Ocean,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
PRCODMEDGSA9,multinational-GFCM-GSA9,Poor cod Ligurian and North Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
PSHRMPMEDGSA6,multinational-GFCM-GSA6,Deep-water Rose Shrimp Northern Spain,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
PSOLEPCOAST,USA-NMFS-PCOAST,Petrale sole Pacific Coast,USA,US West Coast,0.895502963,2588,14.76639593,13.22335132,LC
PTOOTHFISHCH,multinational-SUBPESCA-CFP-SCH-ARG,Patagonian Toothfish Chile,multinational,South America,1.125724334,NA,NA,NA,NS
PTOOTHFISHMI,Australia-AFMA-MI,Patagonian toothfish Macquarie Island,Australia,Australia,1.193009991,184.369,12.12469446,14.46488163,NS
PTOOTHFISHPEI,South Africa-DETMCM-PEI,Patagonian toothfish South Africa Subantarctic Prince Edward Islands,South Africa,South Africa,1.91096113,1514.43,14.23054969,27.19402731,NS
QROCKPCOASTIN,Canada-DFO-PCOASTIN,Quillback rockfish Pacific Coast of Canada (Inside),Canada,Canada West Coast,0.85047205,144,11.87756858,10.10154009,NS
QROCKPCOASTOUT,Canada-DFO-PCOASTOUT,Quillback rockfish Pacific Coast of Canada (Outside),Canada,Canada West Coast,0.85047205,462,13.04332017,11.09297924,NS
QUAHATLC,USA-NMFS-ATLC,Ocean quahog Atlantic Coast,USA,US East Coast,0.895502963,NA,NA,NA,NS
RBRMECS,Japan-FAJ-ECS,Red seabream East China Sea,Japan,Russia Japan,1.025237182,11625.59874,16.26872001,16.67929666,LC
RBRMMEDGSA1-3,multinational-GFCM-GSA1-3,Red Seabream Alboran Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RBRMSETOE,Japan-FAJ-SETOE,Red seabream Inland Sea of Japan (East),Japan,Russia Japan,1.025237182,3105.528673,14.94869452,15.32595744,LC
RBRMSETOW,Japan-FAJ-SETOW,Red seabream Inland Sea of Japan (West),Japan,Russia Japan,1.025237182,4173.130057,15.24417693,15.62889699,LC
RDSHRMPMEDGSA1,multinational-GFCM-GSA1,Red shrimp Northern Alboran Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RDSHRMPMEDGSA10,multinational-GFCM-GSA10,Red shrimp South Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RDSHRMPMEDGSA15-16,multinational-GFCM-GSA15-16,Red shrimp Malta Island and South of Sicily,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RDSHRMPMEDGSA6,multinational-GFCM-GSA6,Red Shrimp Northern Spain,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
REDDEEP2J3K-3LNO,Canada-DFO-2J3K-3LNO,Deepwater redfish NAFO-2J3K-3LNO,Canada,Canada East Coast,0.85047205,22000,16.90655301,14.37855079,NS
REDDEEPDP-1-2-V-XII-XIV,multinational-ICES-DP-1-2-V-XII-XIV,Beaked Redfish Areas V-XII-XIV and NAFO Subareas 1-2 (deep),multinational,Europe non EU,1.440764411,NA,NA,NA,NS
REDDEEPUT12,Canada-DFO-UT12,Deepwater redfish Units 1-2,Canada,Canada East Coast,0.85047205,21000,16.860033,14.33898682,NS
REDFEAUS,Australia-AFMA-EAUS,Redfish Eastern Australia,Australia,Australia,1.193009991,913.2456563,13.72476019,16.37377603,NS
REDFISHSPP3LN,multinational-NAFO-3LN,Redfish species NAFO 3LN,multinational,Canada East Coast,1.478433277,24440,17.01173169,25.15071023,NS
REDFISHSPP3M,multinational-NAFO-3M,Redfish species NAFO 3M,multinational,Canada East Coast,1.478433277,NA,NA,NA,NS
REXSOLEGA,USA-NMFS-GA,Rex sole Gulf of Alaska,USA,US Alaska,0.895502963,NA,NA,NA,NS
REXSOLEPCOAST,USA-NMFS-PCOAST,Rex sole Pacific Coast,USA,US West Coast,0.895502963,1646,14.31385866,12.81810285,NS
REYEROCKBSAI,USA-NMFS-BSAI,Rougheye rockfish Bering Sea and Aleutian Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
REYEROCKGA,USA-NMFS-GA,Rougheye rockfish Gulf of Alaska,USA,US Alaska,0.895502963,NA,NA,NA,NS
RGROUPGM,USA-NMFS-GM,Red grouper Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,6529.16,15.69178886,14.05204342,VU
RGROUPSATL,USA-NMFS-SATL,Red grouper South Atlantic,USA,US Southeast and Gulf,0.895502963,503.49,13.12931913,11.75734419,VU
RHERRPAC,Japan-FAJ-PAC,Round herring Pacific Ocean,Japan,Russia Japan,1.025237182,NA,NA,NA,LC
RHERRTSST,Japan-FAJ-TSST,Round herring Tsushima Strait,Japan,Russia Japan,1.025237182,43991.57093,17.5995086,18.0436706,LC
RKCRABBB,USA-NMFS-BB,Red king crab Bristol Bay,USA,US Alaska,0.895502963,23645.80209,16.97869616,15.20447272,NS
RKCRABNS,USA-NMFS-NS,Red king crab Norton Sound,USA,US Alaska,0.895502963,NA,NA,NA,NS
RKCRABPI,USA-NMFS-PI,Red king crab Pribilof Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
RMULLMEDGSA1,multinational-GFCM-GSA1,Red mullet Northern Alboran Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA10,multinational-GFCM-GSA10,Red mullet South Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA11,multinational-GFCM-GSA11,Red mullet Sardinia,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA15-16,multinational-GFCM-GSA15-16,Red mullet Malta Island and South of Sicily,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA17-18,multinational-GFCM-GSA17-18,Red mullet Adriatic Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA19,multinational-GFCM-GSA19,Red mullet Western Ionian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA25,multinational-GFCM-GSA25,Red mullet Cyprus Island,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA29,multinational-GFCM-GSA29,Red mullet Black Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA5,multinational-GFCM-GSA5,Red mullet Balearic Island,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA6,multinational-GFCM-GSA6,Red mullet Northern Spain,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA7,multinational-GFCM-GSA7,Red mullet Gulf of Lions,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RMULLMEDGSA9,multinational-GFCM-GSA9,Red mullet Ligurian and North Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RPORGYSATLC,USA-NMFS-SATLC,Red porgy Southern Atlantic coast,USA,US Southeast and Gulf,0.895502963,378.2960366,12.84343233,11.50133172,LC
RROCKLOBSTERCRA1,New Zealand-MFish-CRA1,Red rock lobster New Zealand area CRA1,New Zealand,New Zealand,1.048024352,161.109,11.98983643,12.56564056,NS
RROCKLOBSTERCRA2,New Zealand-MFish-CRA2,Red rock lobster New Zealand area CRA2,New Zealand,New Zealand,1.048024352,265.7825,12.49043358,13.09027856,NS
RROCKLOBSTERCRA3,New Zealand-MFish-CRA3,Red rock lobster New Zealand area CRA3,New Zealand,New Zealand,1.048024352,212.492,12.26665962,12.855758,NS
RROCKLOBSTERCRA4,New Zealand-MFish-CRA4,Red rock lobster New Zealand area CRA4,New Zealand,New Zealand,1.048024352,679.969,13.42980249,14.07476005,NS
RROCKLOBSTERCRA5,New Zealand-MFish-CRA5,Red rock lobster New Zealand area CRA5,New Zealand,New Zealand,1.048024352,560.0995,13.23586973,13.87151379,NS
RROCKLOBSTERCRA7,New Zealand-MFish-CRA7,Red rock lobster New Zealand area CRA7,New Zealand,New Zealand,1.048024352,193.628,12.17369407,12.75832784,NS
RROCKLOBSTERCRA8,New Zealand-MFish-CRA8,Red rock lobster New Zealand area CRA8,New Zealand,New Zealand,1.048024352,1082.505,13.89478836,14.56207657,NS
RROCKLOBSTERSAUSNZ,Australia-SARDI-SAUSNZ,Rock Lobster South Australia Northern Zone,Australia,Australia,1.193009991,NA,NA,NA,NS
RROCKLOBSTERSAUSSZ,Australia-SARDI-SAUSSZ,Rock Lobster South Australia Southern Zone,Australia,Australia,1.193009991,NA,NA,NA,NS
RSARDINWA,multinational-FAO-WA,Round Sardinella West Africa,multinational,West Africa,2.595856662,NA,NA,NA,LC
RSFLOUNSOJ,Japan-FAJ-SOJ,Round-nose flounder Sea of Japan,Japan,Russia Japan,1.025237182,1568.679061,14.26574446,14.62577165,NS
RSHRMPMEDGSA1,multinational-GFCM-GSA1,Deep-water rose shrimp Northern Alboran Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RSHRMPMEDGSA12-16,multinational-GFCM-GSA12-16,Deep-water Rose Shrimp GSA 12-16,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RSHRMPMEDGSA17-19,multinational-GFCM-GSA17-19,Deep-water rose shrimp Geographical Sub-Areas 17-19,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RSHRMPMEDGSA5,multinational-GFCM-GSA5,Deep-water rose shrimp Balearic Island,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
RSNAPGM,USA-NMFS-GM,Red snapper Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,5855.877884,15.58295648,13.95458371,VU
RSNAPSATLC,USA-NMFS-SATLC,Red snapper Southern Atlantic coast,USA,US Southeast and Gulf,0.895502963,195.044732,12.18098421,10.90810745,VU
RSOLE5AB,Canada-DFO-5AB,Rock sole Queen Charlotte Sound,Canada,Canada West Coast,0.85047205,524,13.16924696,11.20007646,NS
RSOLEGA,USA-NMFS-GA,Rock sole Gulf of Alaska,USA,US Alaska,0.895502963,NA,NA,NA,NS
RSOLEHSTR,Canada-DFO-HS,Rock sole Hecate Strait,Canada,Canada West Coast,0.85047205,1895,14.4547294,12.29334334,NS
RSQLOBSTERCSCH,Chile-SUBPESCA-CH-CS,Red squat lobster Central-Southern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
RSQLOBSTERNCH,Chile-SUBPESCA-CH-N,Red squat lobster Northern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
SAABALONESA,South Africa-DETMCM-SA,Abalone South Africa,South Africa,South Africa,1.91096113,NA,NA,NA,NS
SABLEFEBSAIGA,USA-NMFS-EBSAIGA,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,USA,US Alaska,0.895502963,18950,16.75731449,15.00622478,NS
SABLEFPCAN,Canada-DFO-PCOAST,Sablefish Pacific Coast of Canada,Canada,Canada West Coast,0.85047205,3230,14.9879927,12.74686887,NS
SABLEFPCOAST,USA-NMFS-PCOAST,Sablefish Pacific Coast,USA,US West Coast,0.895502963,7476,15.82720845,14.17331207,NS
SAILEATL,multinational-ICCAT-EATL,Sailfish Eastern Atlantic,multinational,E Atlantic Ocean,2.183111075,851,13.65416741,29.80856408,NS
SAILWATL,multinational-ICCAT-WATL,Sailfish Western Atlantic,multinational,W Atlantic Ocean,1.162066017,850,13.65299163,15.8656776,NS
SARDINWA,multinational-FAO-WA,Sardinella West Africa,multinational,West Africa,2.595856662,NA,NA,NA,NS
SARDMEDGSA16,multinational-GFCM-GSA16,Sardine South of Sicily,multinational,Mediterranean-Black Sea,1.527982791,5307,15.48453726,23.66010647,LC
SARDMEDGSA17-18,multinational-GFCM-GSA17-18,European pilchard Adriatic Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SARDMEDGSA6,multinational-GFCM-GSA6,European pilchard Northern Spain,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SARDPCOAST,USA-NMFS-PCOAST,Pacific sardine Pacific Coast,USA,US West Coast,0.895502963,NA,NA,NA,NS
SARDPVIIIc-IXa,multinational-ICES-VIIIc-IXa,European pilchard ICES VIIIc-IXa,multinational,European Union,2.038476184,NA,NA,NA,NS
SARDSA,South Africa-DETMCM-SA,Sardine South Africa,South Africa,South Africa,1.91096113,NA,NA,NA,NS
SARDVIIIabd,multinational-ICES-VIIIabd,Sardine ICES VIIIabd,multinational,European Union,2.038476184,NA,NA,NA,NS
SARDWAZC,multinational-FAO-Z-C,Sardine West Africa Zone C,multinational,West Africa,2.595856662,NA,NA,NA,LC
SAURNWPAC,Japan-FAJ-NWPAC,Pacific saury Northwest Pacific,Japan,Russia Japan,1.025237182,474259.1,19.97726435,20.48143421,NS
SBARSHARATL,USA-NMFS-ATL,Sandbar shark Atlantic,USA,US Southeast and Gulf,0.895502963,403,12.90669184,11.55798079,NS
SBELLYROCKPCOAST,USA-NMFS-PCOAST,Shortbelly rockfish Pacific Coast,USA,US West Coast,0.895502963,NA,NA,NA,NS
SBT,multinational-CCSBT-SO,Southern bluefin tuna Southern Oceans,multinational,Indian Ocean,2.05607134,33000,17.31201812,35.59474429,CR
SBWHITACIR,New Zealand-MFish-CIR,Southern blue whiting Campbell Island Rise,New Zealand,New Zealand,1.048024352,NA,NA,NA,NS
SBWHITARGS,Argentina-CFP-ARG-S,Southern blue whiting Southern Argentina,Argentina,South America,1.349326297,NA,NA,NA,NS
SBWHITCH,Chile-SUBPESCA-CH-CS,Southern blue whiting Chile,Chile,South America,1.787019342,NA,NA,NA,NS
SCALL5ZMAB,USA-NMFS-5ZMAB,Sea scallop Georges Bank and Mid-Atlantic Bight,USA,US East Coast,0.895502963,23798,16.9851121,15.21021822,NS
SCALLGB,Canada-DFO-5Z,Sea scallop Georges Bank,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
SCHHEADATL,USA-NMFS-ATL,Scalloped hammerhead Atlantic,USA,US East Coast,0.895502963,NA,NA,NA,NS
SCMPBP,New Zealand-MFish-BOP,Scampi Bay of Plenty,New Zealand,New Zealand,1.048024352,342.4918,12.74400299,13.35602548,LC
SCMPMB,New Zealand-MFish-MB,Scampi Mernoo Bank,New Zealand,New Zealand,1.048024352,NA,NA,NA,LC
SCMPWHB,New Zealand-MFish-WHB,Scampi Wairapa/Hawke Bay,New Zealand,New Zealand,1.048024352,194,12.17561344,12.76033938,LC
SCUPNWATLC,USA-NMFS-NWATLC,Scup Atlantic Coast,USA,US East Coast,0.895502963,11752,16.279534,14.57837094,NS
SDOG4VWX5,Canada-DFO-4VWX5,"Spiny dogfish Scotian Shelf, Bay of Fundy and Georges Bank",Canada,Canada East Coast,0.85047205,741.67,13.51665968,11.49554126,NS
SDOGATLC,USA-NMFS-ATLC,Spiny dogfish Atlantic Coast,USA,US East Coast,0.895502963,NA,NA,NA,NS
SDOGBLKGSA29,multinational-GFCM-GSA29,Spiny Dogfish Black Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SEELNSSA1,multinational-ICES-SA1,Sand eel SA 1,multinational,European Union,2.038476184,NA,NA,NA,NS
SEELNSSA2,multinational-ICES-SA2,Sand eel SA 2,multinational,European Union,2.038476184,NA,NA,NA,NS
SEELNSSA3,multinational-ICES-SA3,Sand eel SA 3,multinational,European Union,2.038476184,NA,NA,NA,NS
SEELNSSA4,multinational-ICES-SA4,Sand eel Sandeel Area 4,multinational,European Union,2.038476184,NA,NA,NA,NS
SFLOUNMATLC,USA-NMFS-MATLC,Summer flounder Mid-Atlantic Coast,USA,US East Coast,0.895502963,12945,16.37622017,14.66495369,NS
SHAKE4VWX,Canada-DFO-4VWX,Silver hake Scotian Shelf and Bay of Fundy,Canada,Canada East Coast,0.85047205,16000,16.58809928,14.1077148,NT
SHCROCKPCOAST,USA-NMFS-PCOAST,Sharpchin rockfish Pacific Coast,USA,US West Coast,0.895502963,270,12.50617724,11.19931878,NS
SILVERFISHSE,Australia-AFMA-SE,Silverfish Southeast Australia,Australia,Australia,1.193009991,2685.688627,14.80344772,17.66066103,NS
SKJCIO,multinational-IOTC-IO,Skipjack tuna Indian Ocean,multinational,Indian Ocean,2.05607134,510000,20.04992128,41.22406852,LC
SKJCWPAC,multinational-WCPFC-CWPAC,Skipjack tuna Central Western Pacific,multinational,CW Pacific Ocean,1.007149874,1618800,21.20495097,21.35656369,LC
SKJEATL,multinational-ICCAT-EATL,Skipjack tuna Eastern Atlantic,multinational,E Atlantic Ocean,2.183111075,156500,18.86856657,41.19217664,LC
SKJWATL,multinational-ICCAT-WATL,Skipjack tuna Western Atlantic,multinational,W Atlantic Ocean,1.162066017,31620,17.26930039,20.06806712,LC
SMDOGATL,USA-NMFS-ATL,Smooth dogfish Atlantic,USA,US East Coast,0.895502963,NA,NA,NA,NS
SMOOTHOREOBP,New Zealand-MFish-BP,Smooth Oreo Bounty Plateau,New Zealand,New Zealand,1.048024352,447,13.01031387,13.63512577,DD
SMOOTHOREOCR,New Zealand-MFish-CR,Smooth oreo Chatham Rise,New Zealand,New Zealand,1.048024352,2996,14.91278862,15.62896563,DD
SMOOTHOREOEPR,New Zealand-MFish-EPR,Smooth Oreo East Pukaki Rise,New Zealand,New Zealand,1.048024352,443,13.00132505,13.62570526,DD
SMOOTHOREOSLD,New Zealand-MFish-SLD,Smooth Oreo Southland,New Zealand,New Zealand,1.048024352,420.72,12.94972281,13.57162486,DD
SMOOTHOREOWECR,New Zealand-MFish-WECR,Smooth oreo West end of Chatham Rise,New Zealand,New Zealand,1.048024352,2179,14.59437661,15.29526209,DD
SMOOTHSKA4T,Canada-DFO-4T,Smooth skate Southern Gulf of St. Lawrence,Canada,Canada East Coast,0.85047205,120.45,11.69899001,9.949664012,NS
SMSHRMPMEDGSA10,multinational-GFCM-GSA10,Spottail mantis shrimp South Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SMSHRMPMEDGSA17-18,multinational-GFCM-GSA17-18,Spottail mantis shrimp Adriatic Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SMSHRMPMEDGSA9,multinational-GFCM-GSA9,Spottail mantis shrimp Ligurian and North Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SMULLMEDGSA15-16,multinational-GFCM-GSA15-16,Surmullet Malta Island and South of Sicily,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SMULLMEDGSA5,multinational-GFCM-GSA5,Surmullet Balearic Island,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SMULLMEDGSA9,multinational-GFCM-GSA9,Surmullet Ligurian and North Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SNAPSAUSNSG,Australia-SARDI-SAUSNSG,Snapper Northern Spencer Gulf,Australia,Australia,1.193009991,NA,NA,NA,NS
SNAPSAUSSGSV,Australia-SARDI-SAUSSGSV,Snapper Southern Gulf St. Vincent,Australia,Australia,1.193009991,NA,NA,NA,NS
SNAPSAUSSSG,Australia-SARDI-SAUSSSG,Snapper Southern Spencer Gulf,Australia,Australia,1.193009991,NA,NA,NA,NS
SNOSESHARATL,USA-NMFS-ATL,Atlantic sharpnose shark Atlantic,USA,US Southeast and Gulf,0.895502963,1270,14.05452746,12.58587099,NS
SNOWCRABBS,USA-NMFS-BS,Snow crab Bering Sea,USA,US Alaska,0.895502963,NA,NA,NA,NS
SNOWCRABESJ,Japan-FAJ-ESJ,Snow crab Sea of Japan East,Japan,Russia Japan,1.025237182,829.135,13.62813827,13.97207407,NS
SNOWCRABHOKK,Japan-FAJ-HOKK,Snow crab Hokkaido,Japan,Russia Japan,1.025237182,NA,NA,NA,NS
SNOWCRABNPAC,Japan-FAJ-NPAC,Snow crab North Pacific,Japan,Russia Japan,1.025237182,159.068,11.97708706,12.27935499,NS
SNOWCRABOKS,Japan-FAJ-OKS,Snow crab Okhotsk Sea,Japan,Russia Japan,1.025237182,NA,NA,NA,NS
SNOWCRABSGSL,Canada-DFO-4T,Snow crab Southern Gulf of St. Lawrence,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
SNOWCRABWSJ,Japan-FAJ-WSJ,Snow crab Sea of Japan West,Japan,Russia Japan,1.025237182,5475.84,15.51585625,15.90743273,NS
SNOWGROUPSATLC,USA-NMFS-SATLC,Snowy grouper Southern Atlantic coast,USA,US Southeast and Gulf,0.895502963,189.8737661,12.15411474,10.88404577,VU
SNROCKPCOAST,USA-NMFS-PCOAST,Splitnose Rockfish Pacific Coast,USA,US West Coast,0.895502963,1268,14.05295141,12.58445964,NS
SOLECS,multinational-ICES-VIIf-g,Common sole Celtic Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
SOLEIIIa-2224,multinational-ICES-22-24-IIIa,Common sole 22-24-IIIa,multinational,European Union,2.038476184,NA,NA,NA,NS
SOLEIS,multinational-ICES-VIIa,Common sole Irish Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
SOLENS,multinational-ICES-IV,Common sole North Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
SOLEVIId,multinational-ICES-VIId,Common sole ICES VIId,multinational,European Union,2.038476184,NA,NA,NA,NS
SOLEVIIe,multinational-ICES-VIIe,Common sole Western English Channel,multinational,European Union,2.038476184,NA,NA,NA,NS
SOLEVIIh-k,multinational-ICES-VIIh-k,Common sole VIIh-k,multinational,European Union,2.038476184,NA,NA,NA,NS
SOLEVIIIab,multinational-ICES-VIIIab,Common sole VIIIab,multinational,European Union,2.038476184,NA,NA,NA,NS
SOLMEDGSA17,multinational-GFCM-GSA17,Common Sole Northern Adriatic Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SOUTHHAKECH,Chile-SUBPESCA-CH-CS,Southern hake Chile,Chile,South America,1.787019342,NA,NA,NA,NS
SOUTHHAKECR,New Zealand-MFish-CR,Southern hake Chatham Rise,New Zealand,New Zealand,1.048024352,4144,15.23717206,15.96892738,NS
SOUTHHAKESA,New Zealand-MFish-SA,Southern hake Sub-Antarctic,New Zealand,New Zealand,1.048024352,4341,15.28361529,16.01760102,NS
SOUTHHAKEWCSI,New Zealand-MFish-WCSI,Southern hake West Coast South Island,New Zealand,New Zealand,1.048024352,8077,15.90453107,16.66833587,NS
SPANMACKGM,USA-NMFS-GM,Spanish mackerel Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
SPANMACKSATLC,USA-NMFS-SATLC,Spanish mackerel Southern Atlantic Coast,USA,US Southeast and Gulf,0.895502963,2750,14.82711147,13.27772226,LC
SPANMACKSETO,Japan-FAJ-SETO,Japanese Spanish mackerel Inland Sea of Japan,Japan,Russia Japan,1.025237182,6926.257021,15.75083011,16.14833668,DD
SPHAKECH,Chile-SUBPESCA-CH-CS,South Pacific Hake Chile,Chile,South America,1.787019342,NA,NA,NA,NS
SPRAT22-32,multinational-ICES-22-32,Sprat ICES Baltic Areas 22-32,multinational,European Union,2.038476184,NA,NA,NA,NS
SPRATNS,multinational-ICES-IV,Sprat North Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
SPRBLKGSA29,multinational-GFCM-GSA29,Sprat Black Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
SPSDOGPCOAST,USA-NMFS-PCOAST,Spotted spiny dogfish Pacific Coast,USA,US West Coast,0.895502963,848,13.65063591,12.22418491,LC
SPURDNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,multinational,European Union,2.038476184,NA,NA,NA,NS
SRAKEROCKBSAI,USA-NMFS-BSAI,Shortraker rockfish Bering Sea and Aleutian Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
SSANDNSJ,Japan-FAJ-NSJ,Sailfin sandfish Sea of Japan North,Japan,Russia Japan,1.025237182,NA,NA,NA,NS
SSANDWSJ,Japan-FAJ-WSJ,Sailfin sandfish Sea of Japan West,Japan,Russia Japan,1.025237182,6694.38,15.71677893,16.11342613,NS
SSARDCH,Chile-SUBPESCA-CH-CS,Southern sardine Chile,Chile,South America,1.787019342,NA,NA,NA,NS
SSLOBSTERSASC,South Africa-DETMCM-SASC,Southern spiny lobster South Africa South coast,South Africa,South Africa,1.91096113,NA,NA,NA,NS
SSTHORNHPCOAST,USA-NMFS-PCOAST,Shortspine thornyhead Pacific Coast,USA,US West Coast,0.895502963,2034,14.52551486,13.0076416,EN
STFLOUNNPCOAST,USA-NMFS-NPCOAST,Starry flounder Northern Pacific Coast,USA,US West Coast,0.895502963,818,13.61461762,12.19193042,LC
STFLOUNSPCOAST,USA-NMFS-SPCOAST,Starry flounder Southern Pacific Coast,USA,US West Coast,0.895502963,396,12.88916949,11.54228947,LC
STMARLINIO,multinational-IOTC-IO,Striped marlin Indian Ocean,multinational,Indian Ocean,2.05607134,4218,15.25487164,31.36510438,NT
STMARLINNEPAC,multinational-IATTC-NEPAC,Striped marlin Northeast Pacific,multinational,NE Pacific Ocean,1.427816046,2596,14.76948236,21.08810391,NT
STMARLINSWPO,multinational-WCPFC-WPO,Striped marlin Southwestern Pacific Ocean,multinational,SW Pacific Ocean,1.953744564,2081,14.54835911,28.42377751,NT
STMARLINWCNPAC,multinational-ISC-WCNPAC,Striped marlin Western and Central North Pacific,multinational,CW Pacific Ocean,1.007149874,5657,15.54840427,15.6595734,NT
STRIPEDBASSGOMCHATT,USA-NMFS-5YCHATT,Striped bass Gulf of Maine / Cape Hatteras,USA,US East Coast,0.895502963,NA,NA,NA,NS
SURFMATLC,USA-NMFS-MATLC,Atlantic surfclam Mid-Atlantic Coast,USA,US East Coast,0.895502963,98000,18.40047804,16.47768261,NS
SWHITSE,Australia-AFMA-SE,School whiting Southeast Australia,Australia,Australia,1.193009991,2070.344826,14.54322573,17.3502136,NS
SWORDEPAC,multinational-IATTC-EPAC,Swordfish Eastern Pacific,multinational,E Pacific Ocean,1.105578368,54900,17.82102391,19.70253852,LC
SWORDIO,multinational-IOTC-IO,Swordfish Indian Ocean,multinational,Indian Ocean,2.05607134,27100,17.11504429,35.18975204,LC
SWORDMED,multinational-ICCAT-MED,Swordfish Mediterranean Sea,multinational,Mediterranean-Black Sea,1.527982791,14600,16.49653209,25.20641714,LC
SWORDNATL,multinational-ICCAT-NATL,Swordfish North Atlantic,multinational,North Atlantic Ocean,1.684328499,13700,16.43290639,27.67841256,LC
SWORDNPAC,multinational-ISC-NPAC,Swordfish North Pacific,multinational,North Pacific Ocean,1.272890706,14920,16.51821315,21.02587999,LC
SWORDSATL,multinational-ICCAT-SATL,Swordfish South Atlantic,multinational,South Atlantic Ocean,1.792744301,14210,16.4694565,29.52552428,LC
TANNERCRABBSAI,USA-NMFS-BSAI,Tanner crab Bering Sea and Aleutian Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
TARAKNZ,New Zealand-MFish-SA,Tarakihi New Zealand,New Zealand,New Zealand,1.048024352,682,13.43278494,14.07788573,NS
