stockid,areaid,stocklong,region
PSALMSQUAMISH,Canada-DFO-SQUAMISH,Pink Salmon Squamish,Canada West Coast (Pacific Salmon)
PSALMSTEPHENS,USA-AKSTATE-STEPHENS,Pink Salmon Stephens (District111),US Alaska (Pacific Salmon)
PSALMSTIKINE,USA-AKSTATE-STIKINE,Pink Salmon Stikine (District108),US Alaska (Pacific Salmon)
PSALMSTILLAPS,USA-WASTATE-STILLAPS,Pink Salmon Stillaguamish (Puget Sound),US West Coast (Pacific Salmon)
PSALMSUNDC,Canada-DFO-SUNDC,Pink Salmon SundChnl (Area 13),Canada West Coast (Pacific Salmon)
PSALMSUTILC,Canada-DFO-SUTILC,Pink Salmon Sutil Chnl (Area 13),Canada West Coast (Pacific Salmon)
PSALMSWADMIR,USA-AKSTATE-SWADMIR,Pink Salmon SWAdmir (District112),US Alaska (Pacific Salmon)
PSALMTANAKEE,USA-AKSTATE-TANAKEE,Pink Salmon Tenakee (District112),US Alaska (Pacific Salmon)
PSALMTEBENKOF,USA-AKSTATE-TEBENKOF,Pink Salmon Tebenkof (District109),US Alaska (Pacific Salmon)
PSALMTHOMPSON,Canada-DFO-THOMPSON,Pink Salmon Thompson,Canada West Coast (Pacific Salmon)
PSALMTOBAI,Canada-DFO-TOBAI,Pink Salmon Toba Inlt (Area 15),Canada West Coast (Pacific Salmon)
PSALMTOTEMB,USA-AKSTATE-TOTEMB,Pink Salmon Totem By (District106),US Alaska (Pacific Salmon)
PSALMTUTKASD,USA-AKSTATE-TUTKASD,Pink Salmon Tutka (Southern D),US Alaska (Pacific Salmon)
PSALMUCOOKI,USA-AKSTATE-UCOOKI,Pink Salmon Upper Cook Inlet,US Alaska (Pacific Salmon)
PSALMUNALAKLEETNS,USA-AKSTATE-UNALAKLEETNS,Pink Salmon Unalakleet (Norton Sound),US Alaska (Pacific Salmon)
PSALMUNIONB,USA-AKSTATE-UNIONB,Pink Salmon Union By (District107),US Alaska (Pacific Salmon)
PSALMVANCI,Canada-DFO-VANCI,Pink Salmon VancIsland (Area 13),Canada West Coast (Pacific Salmon)
PSALMWADMIRAL,USA-AKSTATE-WADMIRAL,Pink Salmon WAdmiral (District112),US Alaska (Pacific Salmon)
PSALMWBEHM,USA-AKSTATE-WBEHM,Pink Salmon WBehm (District 101),US Alaska (Pacific Salmon)
PSALMWCRAWFISH,USA-AKSTATE-WCRAWFISH,Pink Salmon Wcrawfish (District113),US Alaska (Pacific Salmon)
PSALMWHALEB,USA-AKSTATE-WHALEB,Pink Salmon Whale By (District113),US Alaska (Pacific Salmon)
PSALMWHALEP,USA-AKSTATE-WHALEP,Pink Salmon Whale Pe (District106),US Alaska (Pacific Salmon)
PSALMWINDYC,USA-AKSTATE-WINDYC,Pink Salmon Windy Creek (Outer D),US Alaska (Pacific Salmon)
PSALMWKAMPH,Russia-TINRO-WKAMPH,Pink Salmon West Kamchatka pink hatchery,Russia Japan (Pacific Salmon)
PSALMWKAMPW,Russia-TINRO-WKAMPW,Pink Salmon West Kamchatka pink wild,Russia Japan (Pacific Salmon)
PSALMWOODR,USA-AKSTATE-WOODR,Pink Salmon Wood River,US Alaska (Pacific Salmon)
PSANDLIMKB,Japan-FAJ-IMKB,Pacific sandlance Ise and Mikawa Bay,Russia Japan
PSHRMPMEDGSA6,multinational-GFCM-GSA6,Deep-water Rose Shrimp Northern Spain,Mediterranean-Black Sea
PSLANCESYS,Japan-FAJ-SYS,Pacific sand lance Souya Strait,Russia Japan
PSOLEPCOAST,USA-NMFS-PCOAST,Petrale sole Pacific Coast,US West Coast
PTOOTHFISHCH,multinational-SUBPESCA-CFP-SCH-ARG,Patagonian Toothfish Chile,South America
PTOOTHFISHMI,Australia-AFMA-MI,Patagonian toothfish Macquarie Island,Australia
PTOOTHFISHPEI,South Africa-DETMCM-PEI,Patagonian toothfish South Africa Subantarctic Prince Edward Islands,South Africa
QROCKPCOASTIN,Canada-DFO-PCOASTIN,Quillback rockfish Pacific Coast of Canada (Inside),Canada West Coast
QROCKPCOASTOUT,Canada-DFO-PCOASTOUT,Quillback rockfish Pacific Coast of Canada (Outside),Canada West Coast
QUAHATLC,USA-NMFS-ATLC,Ocean quahog Atlantic Coast,US East Coast
RBRMECS,Japan-FAJ-ECS,Red seabream East China Sea,Russia Japan
RBRMIX,multinational-ICES-IX,Red seabream IX,European Union
RBRMMEDGSA1-3,multinational-GFCM-GSA1-3,Red Seabream Alboran Sea,Mediterranean-Black Sea
RBRMSETOE,Japan-FAJ-SETOE,Red seabream Inland Sea of Japan (East),Russia Japan
RBRMSETOW,Japan-FAJ-SETOW,Red seabream Inland Sea of Japan (West),Russia Japan
RBRMVI-VII-VIII,multinational-ICES-VI-VII-VIII,Red seabream VI-VII-VIII,European Union
RBRMX,multinational-ICES-X,Red seabream Azores Grounds,European Union
RDEEPCRABNWATL,USA-NMFS-NWATL,Red deepsea crab Northwestern Atlantic,US East Coast
RDSHRMPMEDGSA1,multinational-GFCM-GSA1,Red shrimp Northern Alboran Sea,Mediterranean-Black Sea
RDSHRMPMEDGSA10,multinational-GFCM-GSA10,Red shrimp South Tyrrhenian Sea,Mediterranean-Black Sea
RDSHRMPMEDGSA15-16,multinational-GFCM-GSA15-16,Red shrimp Malta Island and South of Sicily,Mediterranean-Black Sea
RDSHRMPMEDGSA6,multinational-GFCM-GSA6,Red Shrimp Northern Spain,Mediterranean-Black Sea
REDDEEP2J3K-3LNO,Canada-DFO-2J3K-3LNO,Deepwater redfish NAFO-2J3K-3LNO,Canada East Coast
REDDEEPDP-1-2-V-XII-XIV,multinational-ICES-DP-1-2-V-XII-XIV,Beaked Redfish Areas V-XII-XIV and NAFO Subareas 1-2 (deep),Europe non EU
REDDEEPI-II,multinational-ICES-I-II,Deepwater Redfish Northeast Arctic,Europe non EU
REDDEEPSH1-2-V-XII-XIV,multinational-ICES-SH-1-2-V-XII-XIV,Beaked Redfish Areas V-XII-XIV and NAFO Subareas 1-2 (shallow),Europe non EU
REDDEEPUT12,Canada-DFO-UT12,Deepwater redfish Units 1-2,Canada East Coast
REDDEEPVa-XIV,multinational-ICES-Va-XIV,Beaked Redfish Va and XIV,Europe non EU
REDDEEPXIVb,multinational-ICES-XIVb,Beaked Redfish Southeast Greenland,European Union
REDFEAUS,Australia-AFMA-EAUS,Redfish Eastern Australia,Australia
REDFISHSPP1,multinational-NAFO-1,Redfish species NAFO 1,Canada East Coast
REDFISHSPP23K,Canada-DFO-23K,Redfish species NAFO 23K,Canada East Coast
REDFISHSPP3LN,multinational-NAFO-3LN,Redfish species NAFO 3LN,Canada East Coast
REDFISHSPP3M,multinational-NAFO-3M,Redfish species NAFO 3M,Canada East Coast
REDFISHSPP3Pn4RSTVn,Canada-DFO-3Pn4RSTVn,Redfish species NAFO 3Pn4RSTVn,Canada East Coast
REXSOLEGA,USA-NMFS-GA,Rex sole Gulf of Alaska,US Alaska
REXSOLEPCOAST,USA-NMFS-PCOAST,Rex sole Pacific Coast,US West Coast
REYEROCKBSAI,USA-NMFS-BSAI,Rougheye rockfish Bering Sea and Aleutian Islands,US Alaska
REYEROCKGA,USA-NMFS-GA,Rougheye rockfish Gulf of Alaska,US Alaska
RGROUPGM,USA-NMFS-GM,Red grouper Gulf of Mexico,US Southeast and Gulf
RGROUPSATL,USA-NMFS-SATL,Red grouper South Atlantic,US Southeast and Gulf
RGURNNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Red gurnard Northeast Atlantic,European Union
RHAKEGOMNGB,USA-NMFS-GOMNGB,Red hake Gulf of Maine / Northern Georges Bank,US East Coast
RHAKESGBMATL,USA-NMFS-SGBMATL,Red hake Southern Georges Bank / Mid-Atlantic,US East Coast
RHERRPAC,Japan-FAJ-PAC,Round herring Pacific Ocean,Russia Japan
RHERRTSST,Japan-FAJ-TSST,Round herring Tsushima Strait,Russia Japan
RHGRENNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Roughhead grenadier Northeast Atlantic,European Union
RKCRABBB,USA-NMFS-BB,Red king crab Bristol Bay,US Alaska
RKCRABNS,USA-NMFS-NS,Red king crab Norton Sound,US Alaska
RKCRABPI,USA-NMFS-PI,Red king crab Pribilof Islands,US Alaska
RMULLMEDGSA1,multinational-GFCM-GSA1,Red mullet Northern Alboran Sea,Mediterranean-Black Sea
RMULLMEDGSA10,multinational-GFCM-GSA10,Red mullet South Tyrrhenian Sea,Mediterranean-Black Sea
RMULLMEDGSA11,multinational-GFCM-GSA11,Red mullet Sardinia,Mediterranean-Black Sea
RMULLMEDGSA15-16,multinational-GFCM-GSA15-16,Red mullet Malta Island and South of Sicily,Mediterranean-Black Sea
RMULLMEDGSA17-18,multinational-GFCM-GSA17-18,Red mullet Adriatic Sea,Mediterranean-Black Sea
RMULLMEDGSA19,multinational-GFCM-GSA19,Red mullet Western Ionian Sea,Mediterranean-Black Sea
RMULLMEDGSA25,multinational-GFCM-GSA25,Red mullet Cyprus Island,Mediterranean-Black Sea
RMULLMEDGSA29,multinational-GFCM-GSA29,Red mullet Black Sea,Mediterranean-Black Sea
RMULLMEDGSA5,multinational-GFCM-GSA5,Red mullet Balearic Island,Mediterranean-Black Sea
RMULLMEDGSA6,multinational-GFCM-GSA6,Red mullet Northern Spain,Mediterranean-Black Sea
RMULLMEDGSA7,multinational-GFCM-GSA7,Red mullet Gulf of Lions,Mediterranean-Black Sea
RMULLMEDGSA9,multinational-GFCM-GSA9,Red mullet Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
RNGENI-II-IV-Va2-VIII-IX-XIVab2,multinational-ICES-I-II-IV-Va2-VIII-IX-XIVab2,Roundnose grenadier I-II-IV-Va2-VIII-IX-XIVab2,European Union
RNGENMATLR,multinational-ICES-MATLR,Roundnose grenadier Mid-Atlantic Ridge,European Union
RNGENVb-VI-VII-XIIb,multinational-ICES-Vb-VI-VII-XIIb,Roundnose grenadier Vb-VI-VII-XIIb,European Union
RNGRENIIIa,multinational-ICES-IIIa,Roundnose grenadier Kattegat and Skagerrak,European Union
ROCKCRABLFA23-26,Canada-DFO-4T,Rock crab Southern Gulf of St. Lawrence,Canada East Coast
ROCKCRABQCW,Canada-DFO-QCW,Rock crab Quebec Coastal Waters,Canada East Coast
RPANDWASG2,multinational-FAO-SG2,Red Pandora West Africa Subgroup 2,West Africa
RPORGYSATLC,USA-NMFS-SATLC,Red porgy Southern Atlantic coast,US Southeast and Gulf
RROCKLOBSTERCRA1,New Zealand-MFish-CRA1,Red rock lobster New Zealand area CRA1,New Zealand
RROCKLOBSTERCRA2,New Zealand-MFish-CRA2,Red rock lobster New Zealand area CRA2,New Zealand
RROCKLOBSTERCRA3,New Zealand-MFish-CRA3,Red rock lobster New Zealand area CRA3,New Zealand
RROCKLOBSTERCRA4,New Zealand-MFish-CRA4,Red rock lobster New Zealand area CRA4,New Zealand
RROCKLOBSTERCRA5,New Zealand-MFish-CRA5,Red rock lobster New Zealand area CRA5,New Zealand
RROCKLOBSTERCRA7,New Zealand-MFish-CRA7,Red rock lobster New Zealand area CRA7,New Zealand
RROCKLOBSTERCRA8,New Zealand-MFish-CRA8,Red rock lobster New Zealand area CRA8,New Zealand
RROCKLOBSTERSAUSNZ,Australia-SARDI-SAUSNZ,Rock Lobster South Australia Northern Zone,Australia
RROCKLOBSTERSAUSSZ,Australia-SARDI-SAUSSZ,Rock Lobster South Australia Southern Zone,Australia
RSARDINWA,multinational-FAO-WA,Round Sardinella West Africa,West Africa
RSFLOUNSOJ,Japan-FAJ-SOJ,Round-nose flounder Sea of Japan,Russia Japan
RSHRMPMEDGSA1,multinational-GFCM-GSA1,Deep-water rose shrimp Northern Alboran Sea,Mediterranean-Black Sea
RSHRMPMEDGSA10,multinational-GFCM-GSA10,Deep-water rose shrimp South Tyrrhenian Sea,Mediterranean-Black Sea
RSHRMPMEDGSA11,multinational-GFCM-GSA11,Deep-water rose shrimp Sardinia,Mediterranean-Black Sea
RSHRMPMEDGSA12-16,multinational-GFCM-GSA12-16,Deep-water Rose Shrimp GSA 12-16,Mediterranean-Black Sea
RSHRMPMEDGSA17-19,multinational-GFCM-GSA17-19,Deep-water rose shrimp Geographical Sub-Areas 17-19,Mediterranean-Black Sea
RSHRMPMEDGSA18,multinational-GFCM-GSA18,Deep-water Rose Shrimp Southern Adriatic Sea,Mediterranean-Black Sea
RSHRMPMEDGSA5,multinational-GFCM-GSA5,Deep-water rose shrimp Balearic Island,Mediterranean-Black Sea
RSHRMPMEDGSA9,multinational-GFCM-GSA9,Deep-water rose shrimp Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
RSHRMPMEDGSA9-11,multinational-GFCM-GSA9-11,Deep-water rose shrimp Geographical Sub-Areas 9-11,Mediterranean-Black Sea
RSKATMATLC,USA-NMFS-MATLC,Rosette skate Mid-Atlantic Coast,US East Coast
RSNAPGM,USA-NMFS-GM,Red snapper Gulf of Mexico,US Southeast and Gulf
RSNAPSATLC,USA-NMFS-SATLC,Red snapper Southern Atlantic coast,US Southeast and Gulf
RSOLE5AB,Canada-DFO-5AB,Rock sole Queen Charlotte Sound,Canada West Coast
RSOLEGA,USA-NMFS-GA,Rock sole Gulf of Alaska,US Alaska
RSOLEHSTR,Canada-DFO-HS,Rock sole Hecate Strait,Canada West Coast
RSQLOBSTERCH,Chile-SUBPESCA-CH-CS,Red Squat Lobster Chile Region V-VIII,South America
RSQLOBSTERCSCH,Chile-SUBPESCA-CH-CS,Red squat lobster Central-Southern Chile,South America
RSQLOBSTERNCH,Chile-SUBPESCA-CH-N,Red squat lobster Northern Chile,South America
RSSOLENPAC,Japan-FAJ-NPAC,Roughscale sole North Pacific,Russia Japan
SAABALONESA,South Africa-DETMCM-SA,Abalone South Africa,South Africa
SABLEFEBSAIGA,USA-NMFS-EBSAIGA,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,US Alaska
SABLEFPCAN,Canada-DFO-PCOAST,Sablefish Pacific Coast of Canada,Canada West Coast
SABLEFPCOAST,USA-NMFS-PCOAST,Sablefish Pacific Coast,US West Coast
SAILEATL,multinational-ICCAT-EATL,Sailfish Eastern Atlantic,Atlantic Ocean
SAILWATL,multinational-ICCAT-WATL,Sailfish Western Atlantic,Atlantic Ocean
SARDBC,Canada-DFO-PCOAST,Pacific sardine British Columbia,Canada West Coast
SARDINWA,multinational-FAO-WA,Sardinella West Africa,West Africa
SARDMEDGSA1,multinational-GFCM-GSA1,European pilchard Northern Alboran Sea,Mediterranean-Black Sea
SARDMEDGSA16,multinational-GFCM-GSA16,Sardine South of Sicily,Mediterranean-Black Sea
SARDMEDGSA17,multinational-GFCM-GSA17,Sardine Northern Adriatic Sea,Mediterranean-Black Sea
SARDMEDGSA17-18,multinational-GFCM-GSA17-18,European pilchard Adriatic Sea,Mediterranean-Black Sea
SARDMEDGSA20,multinational-GFCM-GSA20,European pilchard Eastern Ionian Sea,Mediterranean-Black Sea
SARDMEDGSA22,multinational-GFCM-GSA22,European pilchard Aegean Sea,Mediterranean-Black Sea
SARDMEDGSA6,multinational-GFCM-GSA6,European pilchard Northern Spain,Mediterranean-Black Sea
SARDMEDGSA7,multinational-GFCM-GSA7,Sardine Gulf of Lions,Mediterranean-Black Sea
SARDMEDGSA9,multinational-GFCM-GSA9,European pilchard Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
SARDPCOAST,USA-NMFS-PCOAST,Pacific sardine Pacific Coast,US West Coast
SARDPVIIIc-IXa,multinational-ICES-VIIIc-IXa,European pilchard ICES VIIIc-IXa,European Union
SARDSA,South Africa-DETMCM-SA,Sardine South Africa,South Africa
SARDVII,multinational-ICES-VII,Sardine ICES VII,European Union
SARDVIIIabd,multinational-ICES-VIIIabd,Sardine ICES VIIIabd,European Union
SARDVII-VIIIabd,multinational-ICES-VII-VIIIabd,Sardine VII and VIIIabd,European Union
SARDWAZAB,multinational-FAO-Z-AB,Sardine West Africa Zone A+B,West Africa
SARDWAZC,multinational-FAO-Z-C,Sardine West Africa Zone C,West Africa
SAURNWPAC,Japan-FAJ-NWPAC,Pacific saury Northwest Pacific,Russia Japan
SBARSHARATL,USA-NMFS-ATL,Sandbar shark Atlantic,US Southeast and Gulf
SBELLYROCKPCOAST,USA-NMFS-PCOAST,Shortbelly rockfish Pacific Coast,US West Coast
SBREAMCH,multinational-SPRFMO-CH,Deepwater Cardinalfish Chile,South America
SBT,multinational-CCSBT-SO,Southern bluefin tuna Southern Oceans,Indian Ocean
SBWHITACIR,New Zealand-MFish-CIR,Southern blue whiting Campbell Island Rise,New Zealand
SBWHITARGS,Argentina-CFP-ARG-S,Southern blue whiting Southern Argentina,South America
SBWHITCH,Chile-SUBPESCA-CH-CS,Southern blue whiting Chile,South America
SCALL3Ps,Canada-DFO-3Ps,Sea scallop St. Pierre Bank,Canada East Coast
SCALL4T,Canada-DFO-4T,Sea scallop Southern Gulf of St. Lawrence,Canada East Coast
SCALL5ZMAB,USA-NMFS-5ZMAB,Sea scallop Georges Bank and Mid-Atlantic Bight,US East Coast
SCALLGB,Canada-DFO-5Z,Sea scallop Georges Bank,Canada East Coast
SCALLNBB,Canada-DFO-NBB,Sea scallop North Brown Bank,Canada East Coast
SCALLSFA16-20,Canada-DFO-SCFA16-20,Sea scallop Northern Gulf of St Lawrence,Canada East Coast
SCALLSPA1-6,Canada-DFO-SPA1-6,Sea scallop Bay of Fundy (SPA 1-6),Canada East Coast
SCALLWSFA29,Canada-DFO-WSFA29,Sea scallop West Scallop Fishing Area 29,Canada East Coast
SCHHEADATL,USA-NMFS-ATL,Scalloped hammerhead Atlantic,US East Coast
SCMPBP,New Zealand-MFish-BOP,Scampi Bay of Plenty,New Zealand
SCMPMB,New Zealand-MFish-MB,Scampi Mernoo Bank,New Zealand
SCMPWHB,New Zealand-MFish-WHB,Scampi Wairapa/Hawke Bay,New Zealand
SCUPNWATLC,USA-NMFS-NWATLC,Scup Atlantic Coast,US East Coast
SDOG4VWX5,Canada-DFO-4VWX5,"Spiny dogfish Scotian Shelf, Bay of Fundy and Georges Bank",Canada East Coast
SDOGATLC,USA-NMFS-ATLC,Spiny dogfish Atlantic Coast,US East Coast
SDOGBLKGSA29,multinational-GFCM-GSA29,Spiny Dogfish Black Sea,Mediterranean-Black Sea
SDRAYVI-VII,multinational-ICES-VI-VII,Sandy ray ICES VI-VII,European Union
SEELNSSA1,multinational-ICES-SA1,Sand eel SA 1,European Union
SEELNSSA2,multinational-ICES-SA2,Sand eel SA 2,European Union
SEELNSSA3,multinational-ICES-SA3,Sand eel SA 3,European Union
SEELNSSA4,multinational-ICES-SA4,Sand eel Sandeel Area 4,European Union
SEELNSSA5,multinational-ICES-SA5,Sand eel SA 5,European Union
SEELNSSA6,multinational-ICES-SA6,Sand eel SA 6,European Union
SEELNSSA7,multinational-ICES-SA7,Sand eel SA 7,European Union
SEELVIa,multinational-ICES-VIa,Sand eel West of Scotland,European Union
SERAYVIIde,multinational-ICES-VIIde,Smalleyed ray VIIde,European Union
SERAYVIIf-g,multinational-ICES-VIIf-g,Smalleyed ray Celtic Sea,European Union
SFLOUNMATLC,USA-NMFS-MATLC,Summer flounder Mid-Atlantic Coast,US East Coast
SFMAKONWPAC,multinational-UNKNOWN-NWPAC,Shortfin mako Nothwest Pacific Ocean,Pacific Ocean
SGRAYVI-VII,multinational-ICES-VI-VII,Shagreen ray ICES VI-VII,European Union
SHAKE4VWX,Canada-DFO-4VWX,Silver hake Scotian Shelf and Bay of Fundy,Canada East Coast
SHAKEGOMNGB,USA-NMFS-5YZ,Silver hake Gulf of Maine / Northern Georges Bank,US East Coast
SHAKESGBMATL,USA-NMFS-SGBMATL,Silver hake Southern Georges Bank / Mid-Atlantic,US East Coast
SHAKOIMKB,Japan-FAJ-IMKB,Shako Ise and Mikawa Bay,Russia Japan
SHCROCKPCOAST,USA-NMFS-PCOAST,Sharpchin rockfish Pacific Coast,US West Coast
SHSPPNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Smooth-hound Northeast Atlantic,European Union
SILVERFISHSE,Australia-AFMA-SE,Silverfish Southeast Australia,Australia
SKJCIO,multinational-IOTC-IO,Skipjack tuna Indian Ocean,Indian Ocean
SKJCWPAC,multinational-WCPFC-CWPAC,Skipjack tuna Central Western Pacific,Pacific Ocean
SKJEATL,multinational-ICCAT-EATL,Skipjack tuna Eastern Atlantic,Atlantic Ocean
SKJEPAC,multinational-IATTC-EPAC,Skipjack tuna Eastern Pacific,Pacific Ocean
SKJWATL,multinational-ICCAT-WATL,Skipjack tuna Western Atlantic,Atlantic Ocean
SKSNAPCARIB,USA-NMFS-CARIB,Silk snapper Caribbean,US Southeast and Gulf
SMDOGATL,USA-NMFS-ATL,Smooth dogfish Atlantic,US East Coast
SMOOTHOREOBP,New Zealand-MFish-BP,Smooth Oreo Bounty Plateau,New Zealand
SMOOTHOREOCR,New Zealand-MFish-CR,Smooth oreo Chatham Rise,New Zealand
SMOOTHOREOEPR,New Zealand-MFish-EPR,Smooth Oreo East Pukaki Rise,New Zealand
SMOOTHOREOSLD,New Zealand-MFish-SLD,Smooth Oreo Southland,New Zealand
SMOOTHOREOWECR,New Zealand-MFish-WECR,Smooth oreo West end of Chatham Rise,New Zealand
SMOOTHSKA2J3K,Canada-DFO-2J3K,Smooth skate NAFO-2J3K,Canada East Coast
SMOOTHSKA4T,Canada-DFO-4T,Smooth skate Southern Gulf of St. Lawrence,Canada East Coast
SMSHRMPMEDGSA10,multinational-GFCM-GSA10,Spottail mantis shrimp South Tyrrhenian Sea,Mediterranean-Black Sea
SMSHRMPMEDGSA17,multinational-GFCM-GSA17,Spottail Mantis Shrimp Northern Adriatic Sea,Mediterranean-Black Sea
SMSHRMPMEDGSA17-18,multinational-GFCM-GSA17-18,Spottail mantis shrimp Adriatic Sea,Mediterranean-Black Sea
SMSHRMPMEDGSA9,multinational-GFCM-GSA9,Spottail mantis shrimp Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
SMULLMEDGSA15-16,multinational-GFCM-GSA15-16,Surmullet Malta Island and South of Sicily,Mediterranean-Black Sea
SMULLMEDGSA5,multinational-GFCM-GSA5,Surmullet Balearic Island,Mediterranean-Black Sea
SMULLMEDGSA9,multinational-GFCM-GSA9,Surmullet Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
SNAPSAUSNSG,Australia-SARDI-SAUSNSG,Snapper Northern Spencer Gulf,Australia
SNAPSAUSSGSV,Australia-SARDI-SAUSSGSV,Snapper Southern Gulf St. Vincent,Australia
SNAPSAUSSSG,Australia-SARDI-SAUSSSG,Snapper Southern Spencer Gulf,Australia
SNOSESHARATL,USA-NMFS-ATL,Atlantic sharpnose shark Atlantic,US Southeast and Gulf
SNOWCRAB2HJ,Canada-DFO-2HJ,Snow Crab Division 2HJ,Canada East Coast
SNOWCRAB2HJ3KLNOP4R,Canada-DFO-2HJ3KLNOP4R,Snow crab Division 2HJ3KLNOP4R,Canada East Coast
SNOWCRAB2J,Canada-DFO-2J,Snow Crab Division 2J,Canada East Coast
SNOWCRAB3K,Canada-DFO-3K,Snow Crab Division 3K,Canada East Coast
SNOWCRAB3LNO,Canada-DFO-3LNO,Snow Crab Division 3LNO,Canada East Coast
SNOWCRAB3NO,Canada-DFO-3NO,Snow Crab Division 3NO,Canada East Coast
SNOWCRAB3Ps,Canada-DFO-3Ps,Snow Crab Division 3Ps,Canada East Coast
SNOWCRAB4R3Pn,Canada-DFO-4R3Pn,Snow Crab Division 4R3Pn,Canada East Coast
SNOWCRABBS,USA-NMFS-BS,Snow crab Bering Sea,US Alaska
SNOWCRABESJ,Japan-FAJ-ESJ,Snow crab Sea of Japan East,Russia Japan
SNOWCRABHOKK,Japan-FAJ-HOKK,Snow crab Hokkaido,Russia Japan
SNOWCRABNPAC,Japan-FAJ-NPAC,Snow crab North Pacific,Russia Japan
SNOWCRABOKS,Japan-FAJ-OKS,Snow crab Okhotsk Sea,Russia Japan
SNOWCRABSCMA12-17,Canada-DFO-SCMA12-17,Snow crab Northern Gulf of St. Lawrence,Canada East Coast
SNOWCRABSGSL,Canada-DFO-4T,Snow crab Southern Gulf of St. Lawrence,Canada East Coast
SNOWCRABWSJ,Japan-FAJ-WSJ,Snow crab Sea of Japan West,Russia Japan
SNOWGROUPSATLC,USA-NMFS-SATLC,Snowy grouper Southern Atlantic coast,US Southeast and Gulf
SNROCKPCOAST,USA-NMFS-PCOAST,Splitnose Rockfish Pacific Coast,US West Coast
SOLECS,multinational-ICES-VIIf-g,Common sole Celtic Sea,European Union
SOLEIIIa-2224,multinational-ICES-22-24-IIIa,Common sole 22-24-IIIa,European Union
SOLEIS,multinational-ICES-VIIa,Common sole Irish Sea,European Union
SOLENS,multinational-ICES-IV,Common sole North Sea,European Union
SOLEVIIbc,multinational-ICES-VIIbc,Common sole VIIbc,European Union
SOLEVIId,multinational-ICES-VIId,Common sole ICES VIId,European Union
SOLEVIIe,multinational-ICES-VIIe,Common sole Western English Channel,European Union
SOLEVIIh-k,multinational-ICES-VIIh-k,Common sole VIIh-k,European Union
SOLEVIIIab,multinational-ICES-VIIIab,Common sole VIIIab,European Union
SOLEVIIIc-IXa,multinational-ICES-VIIIc-IXa,Common sole VIIIc-IXa,European Union
SOLEWASG1,multinational-FAO-SG1,Sole West Africa Subgroup 1,West Africa
SOLEWASG3,multinational-FAO-SG3,Sole West Africa Subgroup 3,West Africa
SOLMEDGSA17,multinational-GFCM-GSA17,Common Sole Northern Adriatic Sea,Mediterranean-Black Sea
SOLMEDGSA7,multinational-GFCM-GSA7,Common sole Gulf of Lions,Mediterranean-Black Sea
SOUTHHAKECH,Chile-SUBPESCA-CH-CS,Southern hake Chile,South America
SOUTHHAKECR,New Zealand-MFish-CR,Southern hake Chatham Rise,New Zealand
SOUTHHAKESA,New Zealand-MFish-SA,Southern hake Sub-Antarctic,New Zealand
SOUTHHAKEWCSI,New Zealand-MFish-WCSI,Southern hake West Coast South Island,New Zealand
SPANMACKECS,Japan-FAJ-ECS,Japanese Spanish mackerel East China Sea,Russia Japan
SPANMACKGM,USA-NMFS-GM,Spanish mackerel Gulf of Mexico,US Southeast and Gulf
SPANMACKSATLC,USA-NMFS-SATLC,Spanish mackerel Southern Atlantic Coast,US Southeast and Gulf
SPANMACKSETO,Japan-FAJ-SETO,Japanese Spanish mackerel Inland Sea of Japan,Russia Japan
SPHAKECH,Chile-SUBPESCA-CH-CS,South Pacific Hake Chile,South America
SPRAT22-32,multinational-ICES-22-32,Sprat ICES Baltic Areas 22-32,European Union
SPRATIIIa,multinational-ICES-IIIa,Sprat Kattegat and Skagerrak,European Union
SPRATNS,multinational-ICES-IV,Sprat North Sea,European Union
SPRATVIIde,multinational-ICES-VIIde,Sprat VIIde,European Union
SPRATVI-VIIabcfghijk,multinational-ICES-VI-VIIabcfghijk,Sprat VI and VIIabcfghijk,European Union
SPRAYIIIa-IV-VIId,multinational-ICES-IIIa-IV-VIId,"Spotted ray IIIa, VIId and North Sea",European Union
SPRAYIXa,multinational-ICES-IXa,Spotted ray Portugese Waters -East,European Union
SPRAYVIIaefgh,multinational-ICES-VIIaefgh,Spotted ray ICES VIIaefgh,European Union
SPRAYVIII,multinational-ICES-VIII,Spotted ray Bay of Biscay,European Union
SPRAYVI-VIIbj,multinational-ICES-VI-VIIbj,Spotted ray ICES VI-VIIbj,European Union
SPRBLKGSA29,multinational-GFCM-GSA29,Sprat Black Sea,Mediterranean-Black Sea
SPSDOGPCOAST,USA-NMFS-PCOAST,Spotted spiny dogfish Pacific Coast,US West Coast
SPSHRIMPWA,multinational-FAO-WA,Southern Pink Shrimp West Africa,West Africa
SPSQUIDPAC,Japan-FAJ-PAC,Spear squid Pacific Ocean,Russia Japan
